floor,floors_count,rooms_count,total_meters,price,underground,price_per_meter
4,9,2,45.0,17490000,True,388667
8,12,2,38.3,18315000,True,478198
8,28,1,39.7,18464470,True,465100
51,53,2,37.4,19500000,True,521390
18,22,1,43.4,19500000,True,449309
4,5,2,53.9,19790000,True,367161
11,34,1,46.4,19990000,True,430819
13,17,2,52.2,19950000,True,382184
7,25,2,62.9,20500000,True,325914
12,12,1,42.06,20600000,True,489777
5,14,2,48.25,21999000,True,455938
18,27,2,60.0,23000000,True,383333
19,24,2,60.0,23200000,True,386667
8,24,2,45.2,23300000,True,515487
13,24,1,42.9,24000000,True,559441
14,48,1,42.0,24500000,True,583333
6,12,2,49.9,24740000,True,495792
11,24,2,61.4,24990000,True,407003
3,8,2,57.7,25499000,True,441924
9,21,2,56.9,28999000,True,509649
11,20,2,64.0,30000000,True,468750
14,28,2,67.0,30000000,True,447761
16,36,1,41.1,31500000,True,766423
9,21,1,42.1,31900000,True,757720
1,6,2,58.8,32340000,True,550000
9,21,2,50.3,32900000,True,654076
14,41,2,49.73,33000000,True,663583
1,10,2,63.5,33900000,True,533858
9,46,2,49.0,35000000,True,714286
7,19,2,77.0,35300000,True,458442
14,40,2,65.6,36500000,True,556402
2,5,2,60.0,38500000,True,641667
10,46,2,58.5,39900000,True,682051
3,6,2,82.0,49900000,True,608537
13,21,2,80.3,52000000,True,647572
8,10,2,59.7,55000000,True,921273
35,78,2,83.0,65000000,True,783133
38,40,2,115.4,71000000,True,615251
2,4,2,136.6,75000000,True,549048
4,10,1,24.0,12000000,False,500000
6,7,2,70.0,18500000,False,264286
11,14,2,100.2,85000000,False,848303
24,25,1,26.21,3275464,False,124970
1,3,2,61.2,5501880,False,89900
5,15,2,37.3,5800000,False,155496
2,3,2,67.78,9489200,False,140000
15,25,1,48.0,9900000,True,206250
3,14,2,52.0,10249000,True,197096
2,16,2,54.0,15500000,True,287037
7,10,2,48.25,17000000,False,352332
15,21,1,36.5,17500000,True,479452
5,6,2,70.0,18250000,True,260714
18,22,1,43.2,19200000,True,444444
9,45,1,46.3,21000000,True,453564
1,5,2,58.8,24400000,True,414966
